This is a non-optimized list of packages needed to compile and run
Astrometry.net under Cygwin. Many of the packages are automatically installed
dependencies of the necessary packages.

For more instructions see this blog-post:

http://www.carpephoton.com/index.php?option=com_content&view=article&id=16:compiling-astrometrynet-under-cygwin&catid=6:tech&Itemid=13

and the astrometry.net discussion forums for up-to-date information on newer
versions.

$ cygcheck -c
Cygwin Package Information
Package                        Version             Status
libuuid-devel                  2.17.2-1            OK
libuuid1                       2.17.2-1            OK
libwnck                        2.30.2-1            OK
libwnck1-devel                 2.30.2-1            OK
libwnck1_22                    2.30.2-1            OK
libX11-devel                   1.3.3-1             OK
libX11_6                       1.3.3-1             OK
libXau-devel                   1.0.6-1             OK
libXau6                        1.0.6-1             OK
libxcb-atom-devel              0.3.6-1             OK
libxcb-atom1                   0.3.6-1             OK
libxcb-aux-devel               0.3.6-1             OK
libxcb-aux0                    0.3.6-1             OK
libxcb-devel                   1.6-1               OK
libxcb-render-devel            1.6-1               OK
libxcb-render-util-devel       0.3.6-1             OK
libxcb-render-util0            0.3.6-1             OK
libxcb-render0                 1.6-1               OK
libxcb1                        1.6-1               OK
libXcomposite-devel            0.4.2-1             OK
libXcomposite1                 0.4.2-1             OK
libXcursor-devel               1.1.10-1            OK
libXcursor1                    1.1.10-1            OK
libXdamage-devel               1.1.3-1             OK
libXdamage1                    1.1.3-1             OK
libXdmcp-devel                 1.0.3-1             OK
libXdmcp6                      1.0.3-1             OK
libXext-devel                  1.1.2-1             OK
libXext6                       1.1.2-1             OK
libXfixes-devel                4.0.5-1             OK
libXfixes3                     4.0.5-1             OK
libXft-devel                   2.1.14-1            OK
libXft2                        2.1.14-1            OK
libXi-devel                    1.3.2-1             OK
libXi6                         1.3.2-1             OK
libXinerama-devel              1.1-1               OK
libXinerama1                   1.1-1               OK
libxml2                        2.7.7-1             OK
libxml2-devel                  2.7.7-1             OK
libxml2-doc                    2.7.7-1             OK
libXrandr-devel                1.3.0-10            OK
libXrandr2                     1.3.0-10            OK
libXrender-devel               0.9.6-1             OK
libXrender1                    0.9.6-1             OK
libXRes-devel                  1.0.4-1             OK
libXRes1                       1.0.4-1             OK
libxslt                        1.1.26-2            OK
libxslt-devel                  1.1.26-2            OK
libxslt-doc                    1.1.26-2            OK
libXt6                         1.0.8-1             OK
login                          1.10-10             OK
m4                             1.4.15-1            OK
make                           3.81-2              OK
man                            1.6f-1              OK
mingw-runtime                  3.18-1              OK
minires                        1.02-1              OK
netpbm                         10.49.2-1           OK
openssl                        0.9.8o-2            OK
openssl-devel                  0.9.8o-2            OK
ORBit2                         2.14.18-1           OK
perl                           5.10.1-3            OK
pkg-config                     0.23b-10            OK
popt                           1.6.4-4             OK
python                         2.6.5-2             OK
python-cairo                   1.8.10-1            OK
python-libxml2                 2.7.7-1             OK
python-libxslt                 1.1.26-2            OK
python-numpy                   1.4.1-1             OK
randrproto                     1.3.1-1             OK
readline                       6.0.3-2             OK
rebase                         3.0.1-1             OK
renderproto                    0.11-1              OK
resourceproto                  1.1.0-1             OK
run                            1.1.12-11           OK
sed                            4.2.1-1             OK
shared-mime-info               0.71-1              OK
tar                            1.23-1              OK
terminfo                       5.7_20091114-14     OK
terminfo0                      5.5_20061104-12     OK
texinfo                        4.13-3              OK
tzcode                         2010j-1             OK
vim                            7.3.003-1           OK
w32api                         3.15-1              OK
which                          2.20-2              OK
xextproto                      7.1.1-1             OK
xineramaproto                  1.2-1               OK
xorg-x11-bin-dlls              7.4-1               OK
xproto                         7.0.17-1            OK
xz                             4.999.9beta-11      OK
zlib                           1.2.5-1             OK
zlib-devel                     1.2.5-1             OK
zlib0                          1.2.5-1             OK

$
